numero,tribunal,valido,nota
0038490-26.2012.8.26.0114,TJSP,true,
0038491-11.2012.8.26.0114,TJSP,true,
1001723-75.2026.8.26.0309,TJSP,true,
1026667-81.2025.8.26.0114,TJSP,true,
1143711-13.2025.8.26.0053,TJSP,true,
4000953-70.2025.8.26.0372,TJSP,true,
4010804-34.2025.8.26.0114,TJSP,true,
4012284-47.2025.8.26.0114,TJSP,true,
4015806-05.2013.8.26.0114,TJSP,true,
1000160-90.2026.8.26.0650,TJSP,true,
1005784-65.2015.8.26.0114,TJSP,true,
1022178-33.2025.8.26.0071,TJSP,true,
2103814-86.2026.8.26.0000,TJSP,true,
4002133-78.2026.8.26.0084,TJSP,true,
0000474-81.2026.8.26.0576,TJSP,true,
0007006-30.2025.8.26.0019,TJSP,true,
1000223-52.2025.8.26.0650,TJSP,true,
1005628-88.2024.8.26.0073,TJSP,true,
1006289-82.2024.8.26.0650,TJSP,true,
1008335-66.2025.8.26.0114,TJSP,true,
1011200-81.2023.8.26.0292,TJSP,true,
1022816-68.2024.8.26.0114,TJSP,true,
1028155-42.2023.8.26.0114,TJSP,true,
1050869-93.2023.8.26.0114,TJSP,true,
1053262-54.2024.8.26.0114,TJSP,true,
4000105-46.2026.8.26.0082,TJSP,true,
4000410-87.2026.8.26.0160,TJSP,true,
4000793-05.2026.8.26.0180,TJSP,true,
4000972-73.2025.8.26.0082,TJSP,true,
4008648-73.2025.8.26.0114,TJSP,true,
4014532-90.2026.8.26.0068,TJSP,true,
0001190-49.2025.8.26.0510,TJSP,true,
0006970-07.2023.8.26.0100,TJSP,true,
0007415-75.2026.8.26.0114,TJSP,true,
0008590-12.2023.8.26.0114,TJSP,true,
1001831-20.2025.8.26.0510,TJSP,true,
1002264-97.2026.8.26.0248,TJSP,true,
1002776-69.2024.8.26.0533,TJSP,true,
1004178-97.2021.8.26.0079,TJSP,true,
1004873-08.2025.8.26.0533,TJSP,true,
1006439-36.2022.8.26.0229,TJSP,true,
1006529-59.2026.8.26.0114,TJSP,true,
1009693-27.2021.8.26.0625,TJSP,true,
1010390-85.2024.8.26.0320,TJSP,true,
1018099-31.2019.8.26.0003,TJSP,true,
1023334-29.2022.8.26.0114,TJSP,true,
1026996-09.2022.8.26.0564,TJSP,true,
1039995-15.2024.8.26.0114,TJSP,true,
1046939-67.2023.8.26.0114,TJSP,true,
1516588-83.2025.8.26.0114,TJSP,true,
2022428-34.2026.8.26.0000,TJSP,true,
2091755-66.2026.8.26.0000,TJSP,true,
2158665-75.2026.8.26.0000,TJSP,true,
2170079-70.2026.8.26.0000,TJSP,true,
4000229-59.2026.8.26.0363,TJSP,true,
4000368-06.2026.8.26.0106,TJSP,true,
4000482-29.2026.8.26.0272,TJSP,true,
4000824-29.2026.8.26.0114,TJSP,true,
4000899-79.2026.8.26.0272,TJSP,true,
4000913-63.2026.8.26.0272,TJSP,true,
4001004-56.2026.8.26.0272,TJSP,true,
4001316-15.2026.8.26.0019,TJSP,true,
4001342-21.2026.8.26.0566,TJSP,true,
4001522-46.2026.8.26.0272,TJSP,true,
4001602-40.2026.8.26.0650,TJSP,true,
4001830-71.2026.8.26.0114,TJSP,true,
4003022-15.2026.8.26.0510,TJSP,true,
4003253-42.2026.8.26.0704,TJSP,true,
4004415-96.2026.8.26.0114,TJSP,true,
4007583-09.2026.8.26.0114,TJSP,true,
4010216-31.2026.8.26.0554,TJSP,true,
4010220-68.2026.8.26.0554,TJSP,true,
4011933-74.2025.8.26.0114,TJSP,true,
4012549-49.2025.8.26.0114,TJSP,true,
4012899-30.2026.8.26.0008,TJSP,true,
4013699-31.2026.8.26.0114,TJSP,true,
4014106-37.2026.8.26.0114,TJSP,true,
4014342-23.2025.8.26.0114,TJSP,true,
4015570-33.2025.8.26.0114,TJSP,true,
4016467-27.2026.8.26.0114,TJSP,true,
4017523-32.2025.8.26.0114,TJSP,true,
4019694-59.2025.8.26.0114,TJSP,true,
4021227-61.2026.8.26.0100,TJSP,true,
0001217-14.2021.8.26.0529,TJSP,true,
0001810-44.2016.8.26.0068,TJSP,true,
0002029-55.2016.8.26.0586,TJSP,true,
